GEOCOD;POP;X;Y
353060717000006;445;-46,229;-23,675
353060717000007;174;-46,271;-23,714
353060717000008;0;-46,263;-23,763
353060717000009;223;-46,228;-23,709
353060717000010;149;-46,290;-23,735
353060717000011;247;-46,256;-23,734
353060720000001;893;-46,090;-23,484
353060720000002;1489;-46,086;-23,477
353060720000003;940;-46,142;-23,498
353060720000004;956;-46,135;-23,493
353060720000005;1438;-46,137;-23,483
353060720000006;679;-46,134;-23,478
353060720000007;1107;-46,130;-23,481
353060720000008;1955;-46,126;-23,480
353060720000009;285;-46,138;-23,464
353060720000010;128;-46,145;-23,488
353060720000011;1040;-46,148;-23,495
353060720000012;868;-46,130;-23,487
353060720000013;317;-46,086;-23,493
353060720000014;138;-46,076;-23,463
353060720000015;203;-46,146;-23,431
353060720000016;803;-46,137;-23,480
353060720000017;464;-46,131;-23,476
353060720000018;612;-46,127;-23,491
353060720000019;13;-46,108;-23,505
353060720000020;183;-46,109;-23,474
353060725000001;1117;-46,189;-23,675
353060725000002;1394;-46,181;-23,675
353060725000003;297;-46,188;-23,655
353060725000004;220;-46,174;-23,671
353060725000005;725;-46,203;-23,721
353060725000006;623;-46,215;-23,644
353060725000007;177;-46,160;-23,634
353060725000008;450;-46,161;-23,669
353060725000009;176;-46,200;-23,651
353060725000010;0;-46,171;-23,706
